"b_nr","generalite","autor","titel","publikation","band","jahr","seiten","ort","ae","zu_ae","cil","sonstigeCorpora","bearbeiter","datum"
"B011348","N","Spinazzola, V.","Regione III (Lucania et Bruttii). III. Polla. Di un monumento funerario scoperto in Polla e del Forum Popilii di Lucania.","NSA","7","1910","73-87","","1910, 0191.","","","","Gräf","2007-10-17"
"B011349","N","Pasqui, A.","Regione I (Latium et Campania). II. Ostia. Sterro lungo la via Ostiense, presso la porta e lungo la via del Teatro.","NSA","7","1910","58-72","","1910, 0189; 1910, 0190.","","","","Gräf","2007-10-17"
"B011350","N","Pasqui, A.","I. Roma. Nuove scoperte nella città e nel suburbio.","NSA","7","1910","53-57","","1910, 0187; 1910, 0188.","","","","Gräf","2007-10-17"
"B011351","N","Alföldy, G. - Abascal Palazón, J.M. - Cebrián, R.","Nuevos monumentos epigráficos del foro de Segobriga. Parte segunda: inscripciones de dignatarios municipales, fragmentos de naturaleza desconocida, hallazgos más recientes.","ZPE","144","2003","217-234","","2003, 0987; 2003, 0988; 2003, 0989; 2003, 0990; 2003, 0991; 2003, 0992; 2003, 0993; 2003, 0994; 2003, 0995; 2003, 0996; 2003, 0997; 2003, 0998; 2003, 0999.","","","","Feraudi","2008-03-19"
"B011352","N","Piso, I.","Epigraphica (I.).","Sargetia","11/12","1974/75","57-79","","1977, 0674; 1977, 0675; 1977, 0676; 1977, 0677; 1977, 0678; 1977, 0679; 1977, 0680; 1977, 0681; 1977, 0682; 1977, 0683; 1977, 0684; 1977, 0685; 1977, 0686; 1977, 0687; 1977, 0688.","","","","Feraudi","2007-10-19"
"B011353","N","Langford Wilson, H.","Latin inscriptions at the Johns Hopkins University. III.","AJPh","30","1909","153-170","","1909, 0092; 1909, 0093; 1909, 0094; 1909, 0095; 1909, 0096.","","","","Gräf","2009-03-20"
"B011354","N","Piso, I.","Epigraphica (II).","Apulum","13","1975","677-682","","1977, 0693.","","","","Feraudi","2007-10-19"
"B011355","N","Merlin, A.","17 janvier 1911. Séance de la Commission de l'Afrique du Nord.","BCTH","","1911","CXLVII-CLI","","1911, 0010; 1911, 0011; 1911, 0012.","","","","Gräf","2007-10-25"
"B011356","N","Gatti, E.","III. Porto. Frammenti epigrafici rinvenuti nell'Isola Sacra.","NSA","7","1910","291","","1911, 0065.","","","","Gräf","2007-10-25"
"B011357","N","Galieti, A.","Note d'epigrafia lanuvina (Il primo consolato di L. Catilio Severo - Il XVIII cippo miliare sulla via Appia, ecc.)","BAAR","","1911","137-141","","1911, 0095; 1911, 0096.","","","","Gräf","2007-10-25"
"B011358","N","Vaglieri, D.","IV. Ostia. Scavi presso la porta e lungo la via principale.","NSA","7","1910","228-238","","1911, 0064.","","","","Gräf","2007-10-25"
"B011359","N","Körber, K.","Mainz. Römische Inschriften und Skulpturen.","RGKB","4","1911","67-69","","1911, 0231; 1911, 0232; 1911, 0233; 1911, 0234; 1911, 0235.","","13, 11803; 13, 11839; 13, 11847; 13, 11855.","ILS 9183.","Gräf","2019-01-15"
"B011360","N","Körber, K.","Mainz. Römische Inschriften.","RGKB","4","1911","23-25","","1911, 0225; 1911, 0226; 1911, 0227.","","13, 11827; 13, 11861; 13, 11876.","ILS 9226.","Gräf","2018-11-29"
"B011361","N","Montagnon, P.","Inscriptions découvertes à Khenchela.","RSAC","44","1910","305-307","","1911, 0217; 1911, 0218.","","","","Gräf","2007-10-25"
"B011362","n","Jaubert, H.","Poids romains trouvés à Sigus.","RSAC","44","1910","133-142","","1911, 0216.","","","","Gräf","2007-10-25"
"B011363","N","Tucci, G.","Inscriptiones in agro Maceratensi nuper repertae neque iam vulgatae.","MDAI(R)","26","1911","284-287","","1911, 0172.","","","","Gräf","2007-10-25"
"B011364","N","Merlin, A.","13 juin 1911. Séance de la Commission de l'Afrique du Nord.","BCTH","","1911","CCVI-CCXII","","1911, 0120.","","","","Gräf","2007-10-25"
"B011365","N","Ballu, A.","13 juin 1911. Séance de la Commission de l'Afrique du Nord.","BCTH","","1911","CXCIX-CCI","","1911, 0117; 1911, 0118.","","","","Gräf","2007-10-25"
"B011366","N","Merlin, A.","14 mars 1911. Séance de la Commission de l'Afrique du Nord.","BCTH","","1911","CLXXI-CLXXXIII","","1911, 0115; 1911, 0116.","","","","Gräf","2007-10-25"
"B011367","N","Cagnat, R.","Remarques sur les inscriptions latines trouvées en Algérie.","BCTH","","1911","135-144","","1911, 0108; 1911, 0109; 1911, 0110; 1911, 0111; 1911, 0112; 1911, 0113.","","","","Gräf","2007-10-25"
"B011368","N","Ballu, A.","Rapport sur les fouilles exécutées en 1910 par le Service des monuments historiques de l'Algérie.","BCTH","","1911","91-134","","1911, 0097; 1911, 0098; 1911, 0099; 1911, 0100; 1911, 0101; 1911, 0102; 1911, 0103; 1911, 0104; 1911, 0105, 1911, 0106; 1911, 0107.","","","","Gräf","2010-08-04"
"B011369","N","Jung, H.","Bericht aus Siebenbürgen.","AEM","17","1894","7-14","","1894, 0099.","","","ILD 523.","Gräf","2007-10-25"
"B011370","N","Leite De Vasconcellos, J.","Inscripção romana de Panõias.","AP","","1908","283-284","","1909, 0097.","","","","Gräf","2007-10-26"
"B011371","N","Ullman, B.L.","Additions and corrections to CIL.","CPh","4","1909","190-198","","1909, 0099; 1909, 0100.","","06, 36923.","","Gräf","2007-10-26"
"B011372","N","Točilescu, G.G.","Inschriften aus Racovitza-Copačeni in Rumänien.","AEM","17","1894","224-226","","1895, 0064; 1895, 0065.","","03, 13796.","ILS 9180; IDR 2, 588; ILD 152.","Gräf","2008-08-15"
"B011373","N","Haverfield, F.","Thursday, 15th June, 1911.","PSA","23","1909-1911","478-492","","1911, 0215.","","","CCID 565; ILS 9318; RIB 1131.","Gräf","2010-02-04"
"B011374","N","Cagnat, R.","Inscription romaine trouvée à Bulla Regia (Tunisie).","BCTH","","1910","220-224","","1911, 0007.","","","ILAfr 455; ILTun 1248.","Gräf","2017-01-26"
"B011375","N","Véran, A.","11 avríl 1910. Séance de la section d'archéologie.","BCTH","","1910","CXXIII-CXXV","","1911, 0008.","","","","Gräf","2007-10-29"
"B011376","N","Stankovska, M.","Les nouvelles inscriptions provenant de la Mésie Supérieure.","ZAnt","54","2004","159-171","","2004, 1227; 2004, 1228; 2004, 1229; 2004, 1230.","","","","Feraudi","2007-10-29"
"B011377","N","Dušanić, S.","The princeps municipii Dardanorum and the metalla municipii Dardanorum.","ZAnt","54","2004","5-32","","2004, 1226.","","","ILJug 0511.","Feraudi","2007-10-29"
"B011378","N","Mirković, M.","The Roster of the VII Claudia Legion.","ZPE","146","2004","211-220","","2004, 1223.","","03, 14507.","IMS 2, 053.","Feraudi","2007-10-29"
"B011379","N","Artizzu, D.","Lucerne e materiali fittili della collezione Pinna Spada (Sinnai - Cagliari).","In: A.M. Corda (Hrsg.), Cultus splendore. Studi in onore di Giovanna Sotgiu.","","2003","63-77","Senorbì","2003, 0798a; 2003, 0798b.","","","ILSard 398.","Gräf","2012-04-11"
"B011380","N","Alföldy, G. - Abascal Palazón, J.M. - Cebrián, R.","Nuevos monumentos epigráficos del foro de Segobriga. Parte primera: inscripciones votivas, imperiales y de empleados del Estado romano.","ZPE","143","2003","255-274","","2003, 0977; 2003, 0978; 2003, 0979; 2003, 0980; 2003, 0981; 2003, 0982; 2003, 0983; 2003, 0984; 2003, 0985; 2003, 0986.","","","","Feraudi","2008-03-19"
"B011381","N","Isac, D.","Castrul roman de la Samum - Căşeiu.","","","2003","261 S.","Cluj-Napoca","","1929, 0001; 1957, 0327; 1957, 0328; 1957, 0329; 1983, 0862; 2004, 1183.","","CCID 132; ILD 764; ILD 771; ILD 772; ILD 773; ILD 775; ILD 778; ILD 780; ILD 782.","Gräf","2009-04-08"
"B011382","N","Clinton, K.","Two decrees of Maroneia from Samothrace: Further thoughts.","Chiron","34","2004","145-148","","2004, 1295.","2003, 1559.","","","Feraudi","2007-11-02"
"B011383","N","Wörrle, M.","Maroneia im Umbruch. Von der hellenistischen zur kaiserzeitlichen Polis.","Chiron","34","2004","149-167","","2004, 1296.","2003, 1559.","","","Feraudi","2007-11-02"
"B011384","N","Gudea, N.","Die Cohors VII Breucorum c. R. equitata in Obermoesien.","In: L. Ruscu - C. Ciongradi - R. Ardevan - C. Roman - C. Găzdac (Hrsg.), Orbis antiquus. Studia in honorem Ioannis Pisonis.","","2004","73-78","Cluj-Napoca","2004, 1224.","","","","Feraudi","2007-11-02"
"B011385","N","Camina, F.","Il ""testamento"" di Rebilus e l'epistola di Vinuleius Pataecius ai Tasii.","ZPE","146","2004","265-271","","2004, 1293.","","","","Feraudi","2007-11-02"
"B011386","N","Peek, W.","Griechische Epigramme aus Rumänien.","StudClas","6","1964","119-136","","1963, 0184.","","","IScM 2, 195; SEG 02, 1071.","Gräf","2011-04-29"
"B011387","N","Macías, M.","Aras votivas de Lucio Didio Marino.","BAHist","58","1911","88-92","","1911, 0004; 1911, 0005.","","","","Feraudi","2007-11-06"
"B011388","N","Mélida, J.R.","Excavaciones archeológicas en la ciudad de Mérida.","BAHist","58","1911","62-63","","1911, 0003.","","","","Feraudi","2007-11-06"
"B011389","N","Benedito Nuez, J. - Melchor Montserrat, J.M. - Seguí Marco, J.J.","Nuevas inscripciones funerarias de Valentia: un anexo.","HAnt","27","2003","201-210","","2003, 1005.","","","","Feraudi","2007-12-20"
"B011390","N","Redentor, A.","Duas epígrafes funerárias romanas do Monte de Santa Luzia (Freixo de Espada à Cinta).","Conimbriga","42","2003","213-225","","2003, 0958; 2003, 0959.","","","","Gräf","2007-11-06"
"B011391","N","Cinca, J.L. - Ramírez Sábada, J.L. - Velaza, J.","Un depósito de proyectiles de catapulta hallado en Calahorra (La Rioja).","AEA","76","2003","263-271","","2003, 0969a; 2003, 0969b.","","","","Gräf","2007-11-06"
"B011392","N","Weber, E.","Norikerinnen und Noriker im Römischen Reich.","In: L. Ruscu - C. Ciongradi - R. Ardevan - C. Roman - C. Găzdag (Hrsg.), Orbis Antiquus. Studia in honorem Ioannis Pisonis.","","2004","816-820","Cluj-Napoca","2004, 1181.","1933, 0022; 1934, 0117; 1944, 0034; 1980, 0751; 1999, 1304.","03, 0966; 03, 01615; 03, 07881; 03, 14481.","IDR 3, 3, 209; IDR 3, 4, 091; IDR 3, 5, 484; IDR 3, 5, 499; IDR 3, 5, 513; IDR 3, 5, 591.","Gräf","2008-05-30"
"B011393","N","Stefan, A.","Un rang impérial nouveau à l'époque de la quatrième tetrarchie: Filius Augustorum.","AntTard","12","2004","273-291","","2004, 1300; 2004, 1301; 2004, 1309..","1929, 0094; 1991, 1405; 1998, 1180.","","SEG 42, 0646; SEG 48, 0913.","Feraudi","2007-11-15"
"B011394","N","Alföldy, G.","Die Bauinschriften des Aquäduktes von Segovia und des Amphitheaters von Tarraco. (Mit spanischer Zusammenfassung)","","","1997","110 S.","Berlin - New York","","1990, 0654.","","","Gräf","2007-11-09"
"B011395","N","Fabre, A.","Découverte d'une borne milliaire à Saint-Denis-du-Sig.","BSGAO","31","1911","201-205","","1911, 0125.","","","","Gräf","2007-11-12"
"B011396","N","Haverfield, F.","Art. XXV. Roman inscriptions from Cumberland.","TC&WAntArchS","11","1911","469-473","","1911, 0131; 1911, 0132.","","","","Feraudi","2016-07-14"
"B011397","N","Heijmans, M.","Récentes découvertes épigraphiques dans le Rhône à Arles (Bouches-du-Rhône). (Mit französischer Zusammenfassung)","RAN","36","2003","377-381","","2003, 1079; 2003, 1080.","","","","Gräf","2007-11-12"
"B011398","N","Dupraz, J. - Rémy, B.","Nouvelles épitaphes de la cité des Helviens et de la colonie de Valence.","RAN","36","2003","399-409","","2003, 1130; 2003, 1131.","","","","Gräf","2007-11-12"
"B011399","N","González Soutelo, S.","Revisión de nuevas evidencias epigráficas localizadas en el municipio de Tui (Pontevedra).","Gallaecia","22","2003","267-279","","2003, 0945; 2003, 0946; 2003, 0947.","","","","Gräf","2007-11-13"
"B011400","N","Bérard, F.","Quelques officiales, entre Lyon et Rome.","CCG","15","2004","357-369","","2004, 1299.","","","IGR 3, 0080; ILS 9476.","Feraudi","2007-11-15"
"B011401","N","Dukata, S.","Nomos rodopēs.","AD","54","1999","727-732","","2004, 1297; 2004, 1298.","2000, 1285.","","","Feraudi","2007-11-15"
"B011402","N","Sguru, M.","Nomos Kabals.","AD","54","1999","699-700","","2004, 1294.","","","","Feraudi","2007-11-15"
"B011403","N","Ŝarankov, N. - Kacarova, V.","Novi danni za vodosnobeljavaneto na pautalijskite termi.","Arch(Sofia)","45, 3/4","2004","7-16","","2004, 1313.","","","","Feraudi","2007-11-15"
"B011404","N","Velkov, V.","Nadpisi ot Kabile. (Mit französischer Zusammenfassung)","Kabile","2","1991","7-53","","1999, 1370; 1999, 1371; 1999, 1372; 1999, 1373; 1999, 1374; 1999, 1377; 1999, 1380; 1999, 1383.","","","","Gräf","2007-11-16"
"B011405","N","Schenck - David, J.-L.","Une inscription funéraire récemment découverte à Tournan (Gers). (Mit englischer Zusammenfassung)","Aquitania","19","2003","301-309","","2003, 1166.","","","","Gräf","2007-11-19"
"B011406","N","Py, M.","La céramique de l'îlot 3.","Lattara","3","1990","151-190","","2003, 1145.","","","","Gräf","2007-11-19"
"B011407","N","Py, M.","Sondages dans l'habitat antique de Lattes: les fouilles d'Henri Prades et du Groupe Archéologique Painlevé (1963-1985).","Lattara","1","1988","65-146","","2003, 1144.","","","","Gräf","2007-11-19"
"B011408","N","Cuscito, G.","Il cimitero milanese a S. Eustorgio: revisione del materiale epigrafico paleocristiano per il corpus delle I.C.I. su Mediolanum.","RAComo","176","1994","121-169","","1994, 0735.","1972, 0216.","","","Feraudi","2007-11-22"
"B011409","N","Alföldy, G.","Die Inschrift des Aquäduktes von Segovia. Ein Vorbericht.","ZPE","94","1992","231-248","","1992, 1034.","","","","Feraudi","2007-11-22"
"B011410","N","Alföldy, G.","Roms Kaiser als Bauherren.","JRA","15","2002","489-498","","2002, 0065.","1992, 1034; 1993, 0856; 1997, 0882.","","","Feraudi","2007-11-22"
"B011411","N","Romiopoulou, C.","Un nouveau milliaire de la Via Egnatia.","BCH","98","1974","813-816","","1973, 0492.","","01 (2. Aufl.) 02, 02977.","","Gräf","2013-08-05"
"B011412","N","Collart, P.","Les milliaires de la Via Egnatia.","BCH","100","1976","177-200","","1976, 0643.","","01 (2. Aufl.) 02, 02977.","","Gräf","2013-08-05"
"B011413","N","Hassall, M.W.C. - Tomlin, R.S.O.","Roman Britain in 2002. II. Inscriptions.","Britannia","34","2003","361-382","","2003, 1016; 2003, 1017; 2003, 1018; 2003, 1019; 2003, 1020; 2003, 1021; 2003, 1022; 2003, 1023a; 2003, 1023b; 2003, 1023c; 2003, 1023d; 2003, 1025; 2003, 1032; 2003, 1033; 2003, 1034; 2003, 1038; 2003, 1039; 2003, 1040; 2003, 1041; 2003, 1042; 2003, 1043; 2003, 1044; 2003, 1045; 2003, 1046; 2003, 1047; 2003, 1048; 2003, 1049; 2003, 1050; 2003, 1051; 2003, 1052; 2003, 1054; 2003, 1055a; 2003, 1055b; 2003, 1055c; 2003, 1055d; 2003, 1055e; 2003, 1055f; 2003, 1055g; 2003, 1055h; 2003, 1056.","","","","Gräf","2008-03-31"
"B011414","N","Arnaud d'Agnel, G. - De Gérin-Ricard, H.","Les antiquités de la vallée de l'Arc en Provence.","","","1907","334 S.","Aix","2003, 1076.","","","","Feraudi","2009-05-25"
"B011415","N","Fiches, J.-L.","Les agglomérations gallo-romaines en Languedoc-Roussillon.","","","2002","994 S.","Lattes","2003, 1134; 2003, 1135; 2003, 1136; 2003, 1137; 2003, 1138; 2003, 1141; 2003, 1149; 2003, 1157; 2003, 1158; 2003, 1159.","","","","Gräf","2007-11-27"
"B011416","N","Fiches, J.-L. - Mathieu, V.","33. Ambrussum, Villetelle (Hérault).","In: J.-L. Fiches (Hrsg.), Les agglomérations gallo-romaines en Languedoc-Roussillon.","","2002","521-557","Lattes","2003, 1141.","","","","Gräf","2007-11-27"
"B011417","N","Pomarèdes, H.","46. La Jouffe, Montmirat (Gard).","In: J.-L. Fiches (Hrsg.), Les agglomérations gallo-romaines en Languedoc-Roussillon.","","2002","670-683","Lattes","2003, 1136.","","","","Gräf","2007-11-27"
"B011418","N","Goury, D.","52. Le camp de César, Laudun (Gard).","In: J.-L. Fiches (Hrsg.), Les agglomérations gallo-romaines en Languedoc-Roussillon.","","2002","755-765","Lattes","2003, 1138.","","","","Gräf","2007-11-27"
"B011419","N","Raynaud, C.","40. Nages, Nages-et-Solorgues (Gard).","In: J.-L. Fiches (Hrsg.), Les agglomérations gallo-romaines en Languedoc-Roussillon.","","2002","613-625","Lattes","2003, 1134; 2003, 1135.","","","","Gräf","2007-11-27"
"B011420","N","Lugand, M.","27. Forum Domitii, Montbazin (Hérault).","In: J.-L. Fiches (Hrsg.), Les agglomérations gallo-romaines en Languedoc-Roussillon.","","2002","399-408","Lattes","2003, 1149.","","","","Gräf","2007-11-27"
"B011421","N","Colin, M.-G. - Schneider, L. - Vidal, L.","14. Saint-Jean, Roujan (Hérault).","In: J.-L. Fiches (Hrsg.), Les agglomérations gallo-romaines en Languedoc-Roussillon.","","2002","254-260","Lattes","2003, 1159.","","","","Gräf","2007-11-27"
"B011422","N","Olive, C.","13. Montfau, Magalas (Hérault).","In: J.-L. Fiches (Hrsg.), Les agglomérations gallo-romaines en Languedoc-Roussillon.","","2002","237-253","Lattes","2003, 1157; 2003, 1158.","","","","Gräf","2007-11-27"
"B011423","N","Bouet, A. - Charmasson, J. - Roth-Congès, A.","51. Saint-Vincent, Gaujac (Gard).","In: J.-L. Fiches (Hrsg.), Les agglomérations gallo-romaines en Languedoc-Roussillon.","","2002","741-754","Lattes","2003, 1137.","","","","Gräf","2007-11-27"
"B011424","N","Fitz, J.","Les épithètes honorifiques Antoniniana à l'époque sévérienne.","StudClas","24","1986","139-142","","1987, 0839.","","03, 14485a.","IDR 2, 174; ILD 092; ILS 9179.","Gräf","2007-12-04"
"B011425","N","Pérez Almoguera, A.","Nuevos datos de epigrafía ilerdense.","RAPon","13","2003","337-343","","2003, 1007; 2003, 1008; 2003, 1009a; 2003, 1009b; 2003, 1009c; 2003, 1009d; 2003, 1009e.","","","","Gräf","2008-03-12"
"B011426","N","Rădeanu, V.","Diana Sancta Potentisima şi maurii de la Micia. (Mit englischer Zusammenfassung)","Apulum","41","2004","267-270","","2004, 1209.","","03, 01418.","IDR 3, 2, 198a; IDR 3, 3, 065; ILD 245.","Gräf","2007-12-04"
"B011427","N","Ardevan, R.","Note on the Centurion P. Tenacius Vindex [CIL III 1481, 6265].","Novensia","15","2004","99-105","","2004, 1197.","1972, 0467.","03, 01418; 03, 06265.","IDR 3, 2, 120; IDR 3, 5, 518; IDR 3, 5, 582.","Feraudi","2007-11-30"
"B011428","N","Ciobanu, R.","Mars Toutaticus.","Apulum","41","2004","259-266","","2004, 1204.","","","ILD 457.","Gräf","2007-12-04"
"B011429","N","Ben Abdallah, Z.B.","Vénus et la Fortune à Chidibbia en Afrique proconsulaire.","Epigraphica","65","2003","147-158","","2003, 2005; 2003, 2006.","","","","Gräf","2011-12-15"
"B011430","N","Jacob, J.-P. - d'Anna, A. - Denante, S. - Guilcher, A. - Pagni, M.","Provence-Alpes-Côte d'Azur.","GalliaInf","","1987/88, 2","185-343","","2003, 1122.","","","","Gräf","2007-12-04"
"B011431","N","Cochet, A. - Hansen, J.","Conduites et objets de plomb gallo-romains de Vienne (Isére).","","46","1986","229 S.","Paris","2003, 1124.","","","","Gräf","2007-12-04"
"B011432","N","Hartmann, M. - Speidel, M.A.","The Roman army at Zeugma: recent research results.","In: J.H. Humphrey (Hrsg.), Zeugma: interim reports. Rescue excavations (Packard Humanities Institute), inscription of Antiochus I, bronze statue of Mars, house and mosaic of the Synaristosai, and recent work on the Roman army at Zeugma.","","2003","100-126","Portsmouth","2003, 1785.","","","","Gräf","2007-12-11"
"B011433","N","Strobel, K. - Gerber, C.","Tavium (Büyüknefes, Provinz Yozgat). - Bericht über die Kampagnen 2000-2002.","MDAI(I)","53","2003","131-195","","2003, 1708; 2003, 1709; 2003, 1710; 2003, 1711; 2003, 1712; 2003, 1713; 2003, 1714; 2003, 1715; 2003, 1716.","","03, 06899; 03, 14814.","","Feraudi","2008-02-22"
"B011434","N","Panciera, S.","Altri pretoriani a Roma: nuove iscrizioni e vecchie domande.","CCG","15","2004","281-316","","2004, 0317.","1964, 0119a.","","","Feraudi","2007-12-06"
"B011435","N","Themelis, P.","Anaskaphi Messinis.","PAAH","157","2002","21-55","","2003, 1615; 2003, 1616; 2003, 1617; 2003, 1618.","","","","Cowey","2012-07-10"
